Date,Price,Open,High,Low,Vol.,Change %
05/25/2022,78900,78000,78900,76900,2.95M,2.20%
05/24/2022,77200,76400,77200,75100,2.38M,1.05%
05/23/2022,76400,77500,77600,76000,1.91M,-1.80%
05/20/2022,77800,77900,78500,77100,2.38M,-0.26%
05/19/2022,78000,76900,78300,75000,2.45M,-0.38%
05/18/2022,78300,78300,78300,75000,2.81M,0.00%
05/17/2022,78300,75000,78300,74100,2.76M,4.40%
05/16/2022,75000,75100,75300,73600,2.17M,0.00%
05/13/2022,75000,75000,77300,72500,3.82M,-0.40%
5/12/2022,75300,79500,80000,74700,3.52M,-4.32%
5/11/2022,78700,80100,80700,78100,2.69M,-0.38%
5/10/2022,79000,77000,79000,76600,3.35M,0.64%
5/9/2022,78500,80400,80500,78200,3.58M,-2.85%
5/6/2022,80800,81000,81000,79800,3.89M,-0.49%
5/5/2022,81200,81000,81700,80100,2.17M,0.87%
5/4/2022,80500,82000,82300,80000,3.05M,-1.83%
04/29/2022,82000,81900,82800,80800,3.23M,0.37%
04/28/2022,81700,81300,82000,80600,3.17M,0.49%
04/27/2022,81300,81000,81300,79900,2.14M,0.37%
04/26/2022,81000,80100,82000,79200,4.53M,1.12%
04/25/2022,80100,82200,82200,79000,3.66M,-1.11%
04/22/2022,81000,80500,81200,80100,2.61M,1.12%
04/21/2022,80100,81000,81100,79600,4.66M,-1.60%
04/20/2022,81400,82300,82500,80600,3.47M,-0.73%
04/19/2022,82000,82500,82800,81600,3.03M,-0.24%
04/18/2022,82200,83000,83500,81700,3.33M,-2.26%
